Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Term,City
Penthouse,3000000,3,3,175,No,3,Cash,Semi Finished,Stone Residence
Duplex,8818000,4,4,290,Unknown,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,4470000,3,2,155,No,2,Installment,Semi Finished,Taj City
Apartment,492000,3,2,282,Unknown,4,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,1855000,3,3,200,No,2,Cash,Core & Shell,Garden Hills
Apartment,410000,2,1,100,No,4,Cash or Installment,Finished,Nakheel
Duplex,1980000,4,3,265,Unknown,12,Cash or Installment,Semi Finished,6th of October
Apartment,3450000,4,2,210,No,1,Unknown,Finished,New Cairo - El Tagamoa
Apartment,6000000,3,3,205,Unknown,2,Unknown,Finished,October Plaza Sodic
Apartment,380000,3,1,90,No,3,Cash,Finished,6th of October
Duplex,500000,4,4,365,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3570000,3,2,147,No,3,Cash or Installment,Unknown ,The Brooks
Apartment,510000,2,1,70,No,4,Cash,Finished,Badr City
Apartment,4000000,3,3,180,No,2,Cash,Semi Finished,Mountain View iCity
Apartment,3750000,3,3,225,Unknown,12,Cash,Unknown ,Promenade New Cairo
Apartment,3200000,3,2,225,Unknown,1,Unknown,Finished,New Cairo - El Tagamoa
Apartment,443000,3,2,155,No,2,Installment,Unknown ,Taj City
Apartment,4200000,2,2,120,Unknown,2,Cash,Finished,Beverly Hills
Studio,675000,1,1,45,No,2,Cash,Unknown ,6th of October
Duplex,1000000,4,3,250,No,12,Cash or Installment,Finished,Trio Gardens
Apartment,420000,2,1,126,Unknown,3,Cash or Installment,Finished,Sun Capital
Apartment,2600000,4,3,235,No,1,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3100000,3,2,240,No,9,Cash,Finished,Nasr City
Apartment,3400000,3,3,215,No,1,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,1700000,3,3,165,No,1,Cash or Installment,Unknown ,EL Patio Casa
Apartment,6200000,3,3,210,No,2,Cash,Semi Finished,Sodic Westown
Apartment,1000000,3,2,150,No,12,Cash,Finished,Asafra
Apartment,1550000,3,2,185,Unknown,13,Cash,Unknown ,Zahraa Al Maadi
Apartment,1450000,3,2,125,No,7,Cash or Installment,Semi Finished,Seyouf
Apartment,450000,2,3,124,No,3,Cash or Installment,Core & Shell,New Cairo - El Tagamoa
Apartment,712000,3,2,116,No,4,Installment,Finished,Madinaty
Apartment,548000,3,2,197,No,4,Cash or Installment,Finished,New Capital City
Apartment,4700000,3,3,150,No,3,Cash or Installment,Finished,Century City
Apartment,3996000,3,2,148,No,3,Cash or Installment,Finished,Murooj
Apartment,750000,2,1,100,Unknown,2,Cash,Finished,Sidi Beshr
Apartment,3400000,3,3,135,No,2,Installment,Finished,Al Maqsad
Apartment,600000,3,2,135,No,1,Cash or Installment,Not Finished,Badr City
Apartment,3800000,3,3,200,Unknown,3,Unknown,Finished,New Cairo - El Tagamoa
Apartment,2750000,4,2,173,No,2,Cash,Finished,Sidi Gaber
Apartment,340000,3,3,168,No,3,Cash or Installment,Finished,New Capital City
Apartment,780000,2,1,70,No,5,Cash,Finished,Sheikh Zayed
Apartment,550000,2,1,100,Unknown,5,Cash,Core & Shell,Hadayek al-Ahram
Apartment,5661000,2,2,121,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,2500000,2,2,150,Yes,3,Cash or Installment,Finished,Smoha
Apartment,345000,2,1,120,No,3,Cash or Installment,Finished,Nakheel
Apartment,1940000,3,3,190,No,12,Installment,Semi Finished,6th of October
Apartment,3135000,2,2,114,No,7,Cash or Installment,Finished,Murooj
Apartment,13000000,3,2,165,No,4,Cash,Semi Finished,Hyde Park New Cairo
Duplex,9000000,3,2,380,No,12,Cash,Finished,Kafr Abdo
Apartment,2500000,4,4,96,No,2,Cash,Not Finished,Madinaty
Apartment,8550000,3,3,310,No,1,Cash,Finished,Saba Pasha
Apartment,1083000,3,2,150,Unknown,2,Cash or Installment,Semi Finished,Mountain View iCity
Apartment,970000,3,2,160,No,3,Cash,Core & Shell,Hadayek al-Ahram
Apartment,3500000,2,2,120,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,395000,3,1,162,No,12,Cash,Finished,Nakheel
Apartment,3600000,3,3,176,No,6,Cash or Installment,Semi Finished,Roushdy
Apartment,1500000,2,1,130,No,2,Cash,Finished,New Cairo - El Tagamoa
Apartment,4786463,2,2,130,No,2,Cash or Installment,Finished,Fifth Square
Apartment,1450000,3,2,130,No,5,Cash,Finished,Shorouk City
Apartment,685000,3,3,185,Unknown,2,Cash or Installment,Unknown ,Sheikh Zayed
Apartment,340000,2,2,98,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,6240000,4,3,215,No,12,Installment,Semi Finished,Sheikh Zayed
Apartment,7500000,3,3,220,No,12,Cash,Semi Finished,Alma
Apartment,4250000,3,2,120,No,2,Installment,Finished,Sun Capital
Apartment,1837000,3,3,175,No,2,Cash or Installment,Semi Finished,6th of October
Duplex,3000000,3,2,260,No,12,Cash or Installment,Finished,Trio Gardens
Apartment,6000000,3,3,270,Unknown,10,Cash,Finished,Smoha
Apartment,1800000,3,2,150,No,11,Cash,Finished,Gianaclis
Apartment,2858000,3,3,185,Unknown,3,Cash or Installment,Finished,New Capital City
Apartment,3700000,3,3,151,Unknown,3,Cash or Installment,Finished,Al Maqsad
Apartment,3750000,4,3,250,No,2,Cash,Finished,6th of October
Apartment,330000,2,1,120,No,3,Cash or Installment,Finished,Nakheel
Apartment,1120000,3,3,140,Unknown,2,Cash or Installment,Core & Shell,Hadayek 6th of October
Apartment,733000,2,2,136,Unknown,12,Unknown,Finished,90 Avenue
Apartment,607000,4,3,220,Unknown,3,Cash or Installment,Unknown ,New Cairo - El Tagamoa
Apartment,862100,3,3,159,Unknown,2,Unknown,Semi Finished,Palm Hills New Cairo
Apartment,900000,2,2,124,Unknown,2,Cash or Installment,Unknown ,Mountain View Chillout Park
Apartment,16500000,3,4,300,Unknown,7,Unknown,Unknown ,San Stefano
Apartment,400000,2,1,110,No,1,Cash or Installment,Finished,Nakheel
Apartment,4536000,3,3,155,No,4,Cash or Installment,Semi Finished,Taj City
Apartment,5670000,3,3,164,No,4,Installment,Finished,Village West
Apartment,3300000,3,3,155,No,4,Cash or Installment,Semi Finished,New Capital City
Apartment,5000000,4,3,294,No,4,Cash,Finished,Smoha
Apartment,300000,4,2,192,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,720000,3,2,135,No,2,Cash,Finished,Badr City
Apartment,2000000,3,2,150,Yes,6,Cash,Finished,Haram
Apartment,4408000,3,3,152,No,4,Cash or Installment,Unknown ,Roushdy
Apartment,840000,3,1,115,No,4,Cash,Finished,Mandara
Penthouse,1000000,3,3,190,Unknown,3,Cash or Installment,Unknown ,New Cairo - El Tagamoa
Apartment,4200000,3,3,157,No,4,Cash,Finished,Rehab City
Apartment,1600000,3,3,119,No,12,Installment,Finished,Rehab City
Apartment,990000,3,2,135,Unknown,2,Unknown,Finished,Hadayek al-Ahram
Apartment,2300000,2,2,89,No,1,Cash,Finished,Madinaty
Apartment,400000,2,1,100,No,2,Cash or Installment,Unknown ,6th of October
Apartment,2320000,2,2,119,No,1,Installment,Semi Finished,Murooj
Apartment,5200000,3,2,205,No,8,Cash,Finished,Sidi Beshr
Apartment,7900000,4,3,260,No,12,Cash,Finished,Madinaty
Apartment,1800000,3,2,185,No,12,Cash,Finished,Obour City
Apartment,2500000,2,2,127,Unknown,2,Cash or Installment,Unknown ,Rhodes
Apartment,6615000,3,2,199,Unknown,1,Installment,Core & Shell,Hyde Park New Cairo
Apartment,5800000,3,2,149,No,12,Cash or Installment,Finished,Sheikh Zayed
Apartment,950000,4,3,185,Unknown,2,Cash or Installment,Finished,Faisal
Apartment,4200000,2,1,100,No,2,Cash or Installment,Unknown ,6th of October
Apartment,6070000,3,3,220,No,3,Cash or Installment,Semi Finished,Stone Residence
Apartment,1380000,3,2,160,No,3,Cash,Finished,Hadayek al-Ahram
Apartment,5688000,3,3,158,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2200000,3,3,245,No,1,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,2500000,3,2,103,Unknown,2,Cash,Finished,Madinaty
Apartment,5500000,3,3,155,No,12,Cash,Finished,Rehab City
Apartment,5000000,3,3,158,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,4400000,3,3,150,No,3,Cash or Installment,Unknown ,Sun Capital
Apartment,2268628,3,2,135,No,1,Cash or Installment,Not Finished,6th of October
Apartment,1330000,3,3,165,Unknown,3,Installment,Unknown ,Zed East
Apartment,7500000,3,2,144,Unknown,2,Unknown,Finished,Uptown Cairo
Penthouse,2588000,3,2,216,No,5,Cash or Installment,Core & Shell,Ashgar City
Apartment,4000000,1,1,48,No,1,Cash or Installment,Finished,Fifth Square
Apartment,2423000,1,1,58,No,2,Cash or Installment,Finished,Monte Napoleon
Apartment,1100000,3,1,165,No,2,Cash,Not Finished,Hadayek 6th of October
Apartment,1560000,3,2,195,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2205000,3,3,210,No,2,Cash or Installment,Semi Finished,Rich Mont
Apartment,470000,2,1,105,Unknown,3,Cash,Finished,Nakheel
Apartment,1600000,3,2,140,No,2,Cash,Finished,6th of October
Apartment,1300000,3,1,120,No,12,Cash,Finished,Nasr City
Duplex,850000,3,3,160,No,12,Cash or Installment,Finished,New Cairo - El Tagamoa
Apartment,2070000,3,3,180,No,1,Cash or Installment,Semi Finished,6th of October
Apartment,1250000,3,1,125,No,6,Cash,Finished,Montazah
Apartment,8500000,4,3,405,No,11,Cash,Finished,Maadi
Apartment,3300000,5,3,300,Unknown,6,Cash,Finished,Laurent
Apartment,650000,3,2,188,No,12,Cash or Installment,Unknown ,Galleria Moon Valley
Apartment,8500000,3,3,235,No,1,Cash,Finished,New Giza
Apartment,650000,3,1,125,No,4,Cash,Finished,Nakheel
Apartment,2500000,3,2,205,No,5,Cash,Finished,Heliopolis
Apartment,2364000,3,3,187,No,3,Cash,Semi Finished,New Cairo - El Tagamoa
Apartment,7000000,3,3,269,Unknown,11,Unknown,Unknown ,Saba Pasha
Penthouse,2200000,3,3,167,No,3,Cash or Installment,Semi Finished,Mountain View Chillout Park
Apartment,2600000,3,3,200,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3500000,3,3,165,No,5,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,1100000,3,2,205,No,1,Cash or Installment,Not Finished,Badr City
Apartment,700000,3,2,154,Unknown,12,Cash or Installment,Finished,New Cairo - El Tagamoa
Apartment,4500000,3,3,200,Unknown,2,Cash,Finished,New Cairo - El Tagamoa
Apartment,622000,3,2,153,No,2,Cash or Installment,Finished,Karma Kay
Apartment,600000,2,1,70,No,12,Installment,Finished,Sidi Beshr
Apartment,3381000,3,2,147,No,4,Cash or Installment,Unknown ,Saba Pasha
Apartment,2300000,3,3,186,No,2,Cash,Semi Finished,Sheikh Zayed
Apartment,385000,2,1,120,No,2,Cash or Installment,Finished,Nakheel
Apartment,1236000,1,1,60,No,13,Cash or Installment,Semi Finished,Kenz
Apartment,4250000,3,3,224,Unknown,2,Cash,Not Finished,Joulz
Apartment,1500000,3,2,200,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,10000000,3,3,190,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,1650000,2,2,135,No,12,Cash,Finished,New Cairo - El Tagamoa
Apartment,2000000,3,2,178,No,1,Cash,Semi Finished,Ashgar City
Apartment,5000000,3,3,280,Unknown,6,Unknown,Unknown ,Laurent
