Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Penthouse,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,175,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash,Semi Finished,Stone Residence
Apartment,4470000,Greater Than Q3 ( 4100000 ) ,3,2,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Semi Finished,Taj City
Apartment,1855000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Core & Shell,Garden Hills
Apartment,410000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,100,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash or Installment,Finished,Nakheel
Apartment,380000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,90,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,6th of October
Duplex,500000,Less Than or Equal to Q1 ( 1200000 ) ,4,4,365,Greater Than Q3 (  200  ) ,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,510000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,70,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash,Finished,Badr City
Apartment,4000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,180,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Semi Finished,Mountain View iCity
Duplex,1000000,Less Than or Equal to Q1 ( 1200000 ) ,4,3,250,Greater Than Q3 (  200  ) ,No,12,Cash or Installment,Finished,Trio Gardens
Apartment,2600000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,235,Greater Than Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3100000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,240,Greater Than Q3 (  200  ) ,No,9,Cash,Finished,Nasr City
Apartment,3400000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,215,Greater Than Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,6200000,Greater Than Q3 ( 4100000 ) ,3,3,210,Greater Than Q3 (  200  ) ,No,2,Cash,Semi Finished,Sodic Westown
Apartment,1000000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Finished,Asafra
Apartment,1450000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,125,Less Than or Equal to Q1 ( 127  ) ,No,7,Cash or Installment,Semi Finished,Seyouf
Apartment,450000,Less Than or Equal to Q1 ( 1200000 ) ,2,3,124,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Core & Shell,New Cairo - El Tagamoa
Apartment,712000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,116,Less Than or Equal to Q1 ( 127  ) ,No,4,Installment,Finished,Madinaty
Apartment,548000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,197,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash or Installment,Finished,New Capital City
Apartment,4700000,Greater Than Q3 ( 4100000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Finished,Century City
Apartment,3996000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,148,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Finished,Murooj
Apartment,3400000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Finished,Al Maqsad
Apartment,600000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Not Finished,Badr City
Apartment,2750000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,2,173,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Finished,Sidi Gaber
Apartment,340000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,168,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Finished,New Capital City
Apartment,780000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,70,Less Than or Equal to Q1 ( 127  ) ,No,5,Cash,Finished,Sheikh Zayed
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,Yes,3,Cash or Installment,Finished,Smoha
Apartment,345000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Finished,Nakheel
Apartment,1940000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,190,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Installment,Semi Finished,6th of October
Apartment,3135000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,114,Less Than or Equal to Q1 ( 127  ) ,No,7,Cash or Installment,Finished,Murooj
Apartment,13000000,Greater Than Q3 ( 4100000 ) ,3,2,165,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash,Semi Finished,Hyde Park New Cairo
Duplex,9000000,Greater Than Q3 ( 4100000 ) ,3,2,380,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,Kafr Abdo
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,4,96,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash,Not Finished,Madinaty
Apartment,8550000,Greater Than Q3 ( 4100000 ) ,3,3,310,Greater Than Q3 (  200  ) ,No,1,Cash,Finished,Saba Pasha
Apartment,970000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Core & Shell,Hadayek al-Ahram
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,120,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,395000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,162,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,Nakheel
Apartment,3600000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,176,Between Q2(  160  )  and Q3 (  200  ) ,No,6,Cash or Installment,Semi Finished,Roushdy
Apartment,1500000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Finished,New Cairo - El Tagamoa
Apartment,4786463,Greater Than Q3 ( 4100000 ) ,2,2,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Finished,Fifth Square
Apartment,1450000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,5,Cash,Finished,Shorouk City
Apartment,340000,Less Than or Equal to Q1 ( 1200000 ) ,2,2,98,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,6240000,Greater Than Q3 ( 4100000 ) ,4,3,215,Greater Than Q3 (  200  ) ,No,12,Installment,Semi Finished,Sheikh Zayed
Apartment,7500000,Greater Than Q3 ( 4100000 ) ,3,3,220,Greater Than Q3 (  200  ) ,No,12,Cash,Semi Finished,Alma
Apartment,4250000,Greater Than Q3 ( 4100000 ) ,3,2,120,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Finished,Sun Capital
Apartment,1837000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,175,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Duplex,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,260,Greater Than Q3 (  200  ) ,No,12,Cash or Installment,Finished,Trio Gardens
Apartment,1800000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,11,Cash,Finished,Gianaclis
Apartment,3750000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,250,Greater Than Q3 (  200  ) ,No,2,Cash,Finished,6th of October
Apartment,330000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Finished,Nakheel
Apartment,400000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,110,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash or Installment,Finished,Nakheel
Apartment,4536000,Greater Than Q3 ( 4100000 ) ,3,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash or Installment,Semi Finished,Taj City
Apartment,5670000,Greater Than Q3 ( 4100000 ) ,3,3,164,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Installment,Finished,Village West
Apartment,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash or Installment,Semi Finished,New Capital City
Apartment,5000000,Greater Than Q3 ( 4100000 ) ,4,3,294,Greater Than Q3 (  200  ) ,No,4,Cash,Finished,Smoha
Apartment,300000,Less Than or Equal to Q1 ( 1200000 ) ,4,2,192,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Not Finished,Sun Capital
Apartment,720000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Finished,Badr City
Apartment,2000000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,Yes,6,Cash,Finished,Haram
